SUBJECT,TOPIC,Year,Question ID,c (in thousands),s (in thousands),hc (in thousands),lc (in thousands),Item Difficulty Index (=c*100/s),Item Discrimination Index (=(hc-lc)/27)
PHYSICS,UNIT & DIMENSION,2002,2002043,44,156,22,9,28.20512821,0.481481481
PHYSICS,RECTILINEAR MOTION & VECTORS,2002,2002044,454,508,14,18,89.37007874,-0.148148148
PHYSICS,RECTILINEAR MOTION & VECTORS,2002,2002045,6,10,27,15,60,0.444444444
PHYSICS,RECTILINEAR MOTION & VECTORS,2002,2002046,463,881,20,14,52.553916,0.222222222
PHYSICS,PROJECTILE MOTION,2002,2002047,13,206,21,20,6.310679612,0.037037037
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002048,27,696,14,7,3.879310345,0.259259259
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002049,15,34,11,0,44.11764706,0.407407407
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002050,31,177,26,12,17.51412429,0.518518519
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002051,580,713,22,17,81.34642356,0.185185185
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002052,165,702,24,2,23.5042735,0.814814815
PHYSICS,NEWTON'S LAWS OF MOTION,2002,2002053,556,602,20,7,92.35880399,0.481481481
PHYSICS,"WORK, POWER & ENERGY",2002,2002054,74,698,14,4,10.6017192,0.37037037
PHYSICS,CIRCULAR MOTION,2002,2002055,35,75,25,22,46.66666667,0.111111111
PHYSICS,CENTRE OF MASS,2002,2002056,27,32,15,13,84.375,0.074074074
PHYSICS,RIGID BODY DYNAMICS,2002,2002057,357,430,12,2,83.02325581,0.37037037
PHYSICS,RIGID BODY DYNAMICS,2002,2002058,461,729,19,20,63.23731139,-0.037037037
PHYSICS,RIGID BODY DYNAMICS,2002,2002059,8,349,23,11,2.29226361,0.444444444
PHYSICS,RIGID BODY DYNAMICS,2002,2002060,539,706,17,15,76.34560907,0.074074074
PHYSICS,GRAVITATION,2002,2002061,304,782,14,6,38.87468031,0.296296296
PHYSICS,GRAVITATION,2002,2002062,37,393,25,1,9.41475827,0.888888889
PHYSICS,GRAVITATION,2002,2002063,762,988,18,0,77.12550607,0.666666667
PHYSICS,GRAVITATION,2002,2002064,5,345,12,18,1.449275362,-0.222222222
PHYSICS,FLUID MECHANICS & PROPERTIES OF MATTER,2002,2002065,18,113,17,2,15.92920354,0.555555556
PHYSICS,MODERN PHYSICS,2002,2002066,110,851,15,0,12.92596945,0.555555556
PHYSICS,MODERN PHYSICS,2002,2002067,245,445,21,13,55.05617978,0.296296296
PHYSICS,MODERN PHYSICS,2002,2002068,174,348,21,22,50,-0.037037037
PHYSICS,MODERN PHYSICS,2002,2002069,371,503,19,21,73.75745527,-0.074074074
PHYSICS,SEMICONDUCTORS,2002,2002070,464,810,16,10,57.28395062,0.222222222
PHYSICS,SEMICONDUCTORS,2002,2002071,200,836,18,16,23.92344498,0.074074074
PHYSICS,SEMICONDUCTORS,2002,2002072,201,230,19,4,87.39130435,0.555555556
PHYSICS,SEMICONDUCTORS,2002,2002073,10,20,14,4,50,0.37037037
PHYSICS,ELECTROMAGNETIC WAVES & COMMUNICATION,2002,2002074,67,73,14,5,91.78082192,0.333333333
PHYSICS,ELECTROMAGNETIC WAVES & COMMUNICATION,2002,2002075,376,529,20,15,71.07750473,0.185185185
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002076,338,740,21,21,45.67567568,0
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002077,80,906,10,21,8.830022075,-0.407407407
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002078,322,699,21,1,46.0658083,0.740740741
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002079,427,495,26,15,86.26262626,0.407407407
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002080,281,815,21,22,34.47852761,-0.037037037
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002081,62,108,13,11,57.40740741,0.074074074
CHEMISTRY,"STOICHIOMETRY (MOLE1, 2)",2002,2002082,417,986,24,9,42.29208925,0.555555556
CHEMISTRY,ATOMIC STRUCTURE,2002,2002083,44,460,10,7,9.565217391,0.111111111
CHEMISTRY,ATOMIC STRUCTURE,2002,2002084,141,557,17,1,25.31418312,0.592592593
CHEMISTRY,GASEOUS STATE,2002,2002085,73,109,22,15,66.97247706,0.259259259
CHEMISTRY,GASEOUS STATE,2002,2002086,396,443,22,22,89.39051919,0
CHEMISTRY,THERMODYNAMICS & THERMOCHEMISTRY,2002,2002087,33,88,19,9,37.5,0.37037037
CHEMISTRY,THERMODYNAMICS & THERMOCHEMISTRY,2002,2002088,95,195,22,21,48.71794872,0.037037037
CHEMISTRY,THERMODYNAMICS & THERMOCHEMISTRY,2002,2002089,105,204,25,7,51.47058824,0.666666667
CHEMISTRY,CHEMICAL EQUILIBRIUM,2002,2002090,243,574,13,22,42.33449477,-0.333333333
CHEMISTRY,CHEMICAL EQUILIBRIUM,2002,2002091,725,744,15,21,97.44623656,-0.222222222
CHEMISTRY,IONIC EQUILIBRIUM,2002,2002092,5,482,27,2,1.037344398,0.925925926
CHEMISTRY,IONIC EQUILIBRIUM,2002,2002093,453,788,21,7,57.48730964,0.518518519
CHEMISTRY,IONIC EQUILIBRIUM,2002,2002094,48,559,26,10,8.586762075,0.592592593
CHEMISTRY,IONIC EQUILIBRIUM,2002,2002095,15,22,26,14,68.18181818,0.444444444
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002096,149,439,13,9,33.94077449,0.148148148
CHEMISTRY,PROPERTIES,2002,2002097,197,306,13,18,64.37908497,-0.185185185
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002098,4,6,18,21,66.66666667,-0.111111111
CHEMISTRY,PROPERTIES,2002,2002099,449,883,27,5,50.84937712,0.814814815
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002100,60,708,24,10,8.474576271,0.518518519
CHEMISTRY,PROPERTIES,2002,2002101,232,283,25,7,81.97879859,0.666666667
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002102,113,877,23,20,12.88483466,0.111111111
CHEMISTRY,PROPERTIES,2002,2002103,213,265,19,20,80.37735849,-0.037037037
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002104,213,522,11,4,40.8045977,0.259259259
CHEMISTRY,PROPERTIES,2002,2002105,145,150,11,6,96.66666667,0.185185185
CHEMISTRY,PERIODIC TABLE & PERIODICITY IN,2002,2002106,772,938,10,15,82.30277186,-0.185185185
CHEMISTRY,PROPERTIES,2002,2002107,133,813,21,19,16.35916359,0.074074074
CHEMISTRY,CHEMICAL BONDING,2002,2002108,518,658,11,1,78.72340426,0.37037037
CHEMISTRY,CHEMICAL BONDING,2002,2002109,636,865,23,16,73.52601156,0.259259259
CHEMISTRY,CHEMICAL BONDING,2002,2002110,383,970,22,4,39.48453608,0.666666667
CHEMISTRY,CHEMICAL BONDING,2002,2002111,328,410,13,21,80,-0.296296296
CHEMISTRY,CHEMICAL BONDING,2002,2002112,254,289,16,1,87.88927336,0.555555556
CHEMISTRY,CHEMICAL BONDING,2002,2002113,465,497,18,13,93.56136821,0.185185185
CHEMISTRY,CHEMICAL BONDING,2002,2002114,275,936,20,14,29.38034188,0.222222222
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),2002,2002115,685,912,25,18,75.10964912,0.259259259
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),2002,2002116,192,231,18,12,83.11688312,0.222222222
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),2002,2002117,23,394,10,15,5.837563452,-0.185185185
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),2002,2002118,3,9,18,21,33.33333333,-0.111111111
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),2002,2002119,26,915,24,13,2.841530055,0.407407407
CHEMISTRY,CHEMICAL KINETICS,2002,2002120,381,830,13,4,45.90361446,0.333333333
CHEMISTRY,CHEMICAL KINETICS,2002,2002121,710,968,15,17,73.34710744,-0.074074074
CHEMISTRY,CHEMICAL KINETICS,2002,2002122,349,498,26,3,70.08032129,0.851851852
CHEMISTRY,CHEMICAL KINETICS,2002,2002123,659,857,10,12,76.89614936,-0.074074074
CHEMISTRY,CHEMICAL KINETICS,2002,2002124,151,208,24,16,72.59615385,0.296296296
CHEMISTRY,CHEMICAL KINETICS,2002,2002125,574,842,17,19,68.17102138,-0.074074074
CHEMISTRY,ELECTROCHEMISTRY,2002,2002126,140,151,16,10,92.71523179,0.222222222
CHEMISTRY,ELECTROCHEMISTRY,2002,2002127,704,837,25,9,84.10991637,0.592592593
CHEMISTRY,ELECTROCHEMISTRY,2002,2002128,168,401,10,22,41.89526185,-0.444444444
CHEMISTRY,ELECTROCHEMISTRY,2002,2002129,443,507,13,1,87.37672584,0.444444444
CHEMISTRY,SOLID STATE,2002,2002130,38,895,10,14,4.245810056,-0.148148148
CHEMISTRY,COLLIGATIVE PEROPERTIES,2002,2002131,343,442,27,20,77.60180995,0.259259259
CHEMISTRY,COLLIGATIVE PEROPERTIES,2002,2002132,24,337,24,14,7.121661721,0.37037037
CHEMISTRY,NUCLEAR CHEMISTRY,2002,2002133,304,980,22,1,31.02040816,0.777777778
CHEMISTRY,NUCLEAR CHEMISTRY,2002,2002134,337,341,15,9,98.82697947,0.222222222
CHEMISTRY,TRANSITION ELEMENTS AND,2002,2002135,12,16,27,12,75,0.555555556
CHEMISTRY,COORDINATION CHEMISTRY,2002,2002136,224,731,12,6,30.64295486,0.222222222
CHEMISTRY,TRANSITION ELEMENTS AND,2002,2002137,70,683,24,9,10.2489019,0.555555556
CHEMISTRY,COORDINATION CHEMISTRY,2002,2002138,745,868,21,5,85.82949309,0.592592593
CHEMISTRY,TRANSITION ELEMENTS AND,2002,2002139,336,614,12,17,54.72312704,-0.185185185
CHEMISTRY,COORDINATION CHEMISTRY,2002,2002140,254,835,27,1,30.41916168,0.962962963
CHEMISTRY,METALLURGY,2002,2002141,181,374,27,0,48.39572193,1
CHEMISTRY,METALLURGY,2002,2002142,89,203,15,19,43.84236453,-0.148148148
CHEMISTRY,METALLURGY,2002,2002143,63,193,10,12,32.64248705,-0.074074074
CHEMISTRY,QUALITATIVE ANALYSIS,2002,2002144,361,985,24,19,36.64974619,0.185185185
CHEMISTRY,HYDROCARBONS,2002,2002145,77,273,22,12,28.20512821,0.37037037
CHEMISTRY,HYDROCARBONS,2002,2002146,318,663,26,14,47.9638009,0.444444444
CHEMISTRY,ALDEHYDES AND KETONES,2002,2002147,27,44,18,21,61.36363636,-0.111111111
CHEMISTRY,AROMATIC COMPOUND,2002,2002148,328,759,19,19,43.21475626,0
CHEMISTRY,AROMATIC COMPOUND,2002,2002149,312,438,15,8,71.23287671,0.259259259
CHEMISTRY,CARBOXYLIC ACID & THEIR DERIVATIVES,2002,2002150,91,102,10,13,89.21568627,-0.111111111
CHEMISTRY,CARBOXYLIC ACID & THEIR DERIVATIVES,2002,2002151,34,310,13,18,10.96774194,-0.185185185
CHEMISTRY,AMINES,2002,2002152,555,829,11,19,66.94813028,-0.296296296
CHEMISTRY,AMINES,2002,2002153,213,361,26,13,59.00277008,0.481481481
CHEMISTRY,"CARBOHYDRATES, AMINO ACIDS & POLYMERS",2002,2002154,110,453,21,3,24.28256071,0.666666667
CHEMISTRY,"CARBOHYDRATES, AMINO ACIDS & POLYMERS",2002,2002155,25,595,15,16,4.201680672,-0.037037037
CHEMISTRY,"CARBOHYDRATES, AMINO ACIDS & POLYMERS",2002,2002156,353,557,20,8,63.37522442,0.444444444
CHEMISTRY,STEREO CHEMISTRY,2002,2002157,716,847,16,8,84.53364817,0.296296296
CHEMISTRY,STEREO CHEMISTRY,2002,2002158,483,528,13,22,91.47727273,-0.333333333
CHEMISTRY,STEREO CHEMISTRY,2002,2002159,232,969,19,8,23.94220846,0.407407407
MATHEMATICS,STRAIGHT LINE,2002,2002160,197,517,16,19,38.10444874,-0.111111111
MATHEMATICS,STRAIGHT LINE,2002,2002161,220,520,22,2,42.30769231,0.740740741
MATHEMATICS,STRAIGHT LINE,2002,2002162,129,263,19,10,49.04942966,0.333333333
MATHEMATICS,STRAIGHT LINE,2002,2002163,517,881,13,14,58.68331442,-0.037037037
MATHEMATICS,CIRCLE,2002,2002164,191,985,20,1,19.39086294,0.703703704
MATHEMATICS,PARABOLA,2002,2002165,32,545,26,6,5.871559633,0.740740741
MATHEMATICS,ELLIPSE,2002,2002166,798,864,11,3,92.36111111,0.296296296
MATHEMATICS,ELLIPSE,2002,2002167,334,595,22,10,56.13445378,0.444444444
MATHEMATICS,HYPERBOLA,2002,2002168,396,613,11,14,64.60032626,-0.111111111
MATHEMATICS,COMPLEX NUMBER,2002,2002169,30,38,26,21,78.94736842,0.185185185
MATHEMATICS,COMPLEX NUMBER,2002,2002170,505,835,27,14,60.47904192,0.481481481
MATHEMATICS,COMPLEX NUMBER,2002,2002171,270,489,20,11,55.21472393,0.333333333
MATHEMATICS,BINOMIAL THEOREM,2002,2002172,294,434,11,21,67.74193548,-0.37037037
MATHEMATICS,BINOMIAL THEOREM,2002,2002173,586,699,15,18,83.83404864,-0.111111111
MATHEMATICS,SEQUENCE & SERIES,2002,2002174,40,617,25,22,6.482982172,0.111111111
MATHEMATICS,SEQUENCE & SERIES,2002,2002175,79,178,16,12,44.38202247,0.148148148
MATHEMATICS,SEQUENCE & SERIES,2002,2002176,413,530,15,12,77.9245283,0.111111111
MATHEMATICS,SEQUENCE & SERIES,2002,2002177,200,608,14,14,32.89473684,0
MATHEMATICS,SEQUENCE & SERIES,2002,2002178,317,493,20,11,64.30020284,0.333333333
MATHEMATICS,QUADRATIC EQUATION,2002,2002179,139,828,19,3,16.78743961,0.592592593
MATHEMATICS,QUADRATIC EQUATION,2002,2002180,726,977,12,21,74.30910952,-0.333333333
MATHEMATICS,MATRIES & DETERMINANTS,2002,2002181,208,654,10,14,31.80428135,-0.148148148
MATHEMATICS,PROBABILITY,2002,2002182,233,626,20,4,37.22044728,0.592592593
MATHEMATICS,PROBABILITY,2002,2002183,352,834,26,20,42.20623501,0.222222222
MATHEMATICS,PROBABILITY,2002,2002184,50,55,20,2,90.90909091,0.666666667
MATHEMATICS,PROBABILITY,2002,2002185,667,840,20,18,79.4047619,0.074074074
MATHEMATICS,PROBABILITY,2002,2002186,21,277,22,20,7.581227437,0.074074074
MATHEMATICS,PROBABILITY,2002,2002187,390,535,18,10,72.89719626,0.296296296
MATHEMATICS,TRIGO. RATIO & IDENTITIES,2002,2002188,267,551,10,11,48.45735027,-0.037037037
MATHEMATICS,TRIGO. RATIO & IDENTITIES,2002,2002189,17,72,25,17,23.61111111,0.296296296
MATHEMATICS,TRIGO. RATIO & IDENTITIES,2002,2002190,561,797,12,21,70.38895859,-0.333333333
MATHEMATICS,TRIGO. RATIO & IDENTITIES,2002,2002191,74,107,24,5,69.1588785,0.703703704
MATHEMATICS,TRIGO. RATIO & IDENTITIES,2002,2002192,73,156,12,14,46.79487179,-0.074074074
MATHEMATICS,TRIGONOMETRIC EQUATION,2002,2002193,579,695,12,18,83.30935252,-0.222222222
MATHEMATICS,TRIGONOMETRIC EQUATION,2002,2002194,257,487,11,8,52.77207392,0.111111111
MATHEMATICS,INVERSE TRIGONOMETRIC FUNCTION,2002,2002195,682,749,22,19,91.05473965,0.111111111
MATHEMATICS,INVERSE TRIGONOMETRIC FUNCTION,2002,2002196,6,347,25,3,1.729106628,0.814814815
MATHEMATICS,FUNCTIONS,2002,2002197,52,106,11,21,49.05660377,-0.37037037
MATHEMATICS,FUNCTIONS,2002,2002198,99,654,14,5,15.13761468,0.333333333
MATHEMATICS,FUNCTIONS,2002,2002199,227,357,12,20,63.58543417,-0.296296296
MATHEMATICS,FUNCTIONS,2002,2002200,47,263,20,13,17.87072243,0.259259259
MATHEMATICS,LIMIT OF FUNCTION,2002,2002201,421,457,23,12,92.12253829,0.407407407
MATHEMATICS,LIMIT OF FUNCTION,2002,2002202,151,185,26,20,81.62162162,0.222222222
MATHEMATICS,LIMIT OF FUNCTION,2002,2002203,447,464,25,16,96.3362069,0.333333333
MATHEMATICS,LIMIT OF FUNCTION,2002,2002204,207,726,16,18,28.51239669,-0.074074074
MATHEMATICS,CONTINUITY & DERIVABILITY,2002,2002205,397,498,18,0,79.7188755,0.666666667
MATHEMATICS,DIFFERENTIATION (MOD),2002,2002206,31,388,27,16,7.989690722,0.407407407
MATHEMATICS,DIFFERENTIATION (MOD),2002,2002207,420,699,11,19,60.08583691,-0.296296296
MATHEMATICS,DIFFERENTIATION (MOD),2002,2002208,593,707,12,13,83.87553041,-0.037037037
MATHEMATICS,APPLICATION OF DERIVATIVES (AOD),2002,2002209,25,87,19,6,28.73563218,0.481481481
MATHEMATICS,APPLICATION OF DERIVATIVES (AOD),2002,2002210,50,136,10,21,36.76470588,-0.407407407
MATHEMATICS,APPLICATION OF DERIVATIVES (AOD),2002,2002211,550,753,10,2,73.04116866,0.296296296
MATHEMATICS,APPLICATION OF DERIVATIVES (AOD),2002,2002212,195,362,24,3,53.86740331,0.777777778
MATHEMATICS,INDEFINITE INTEGRATION,2002,2002213,216,332,12,3,65.06024096,0.333333333
MATHEMATICS,DEFINITE INTEGRATION,2002,2002214,71,395,15,15,17.97468354,0
MATHEMATICS,DEFINITE INTEGRATION,2002,2002215,374,424,22,20,88.20754717,0.074074074
MATHEMATICS,DEFINITE INTEGRATION,2002,2002216,18,46,12,22,39.13043478,-0.37037037
MATHEMATICS,DEFINITE INTEGRATION,2002,2002217,26,109,19,7,23.85321101,0.444444444
MATHEMATICS,DEFINITE INTEGRATION,2002,2002218,134,324,25,15,41.35802469,0.37037037
MATHEMATICS,AREA UNDER CURVE,2002,2002219,174,473,14,7,36.78646934,0.259259259
MATHEMATICS,DIFFERENTIAL EQUATION,2002,2002220,737,781,19,11,94.36619718,0.296296296
MATHEMATICS,DIFFERENTIAL EQUATION,2002,2002221,543,997,25,11,54.46339017,0.518518519
MATHEMATICS,DIFFERENTIAL EQUATION,2002,2002222,320,572,17,2,55.94405594,0.555555556
MATHEMATICS,STATISTICS,2002,2002223,237,503,18,3,47.11729622,0.555555556
MATHEMATICS,SOLUTION OF TRIANGLE,2002,2002224,162,329,16,0,49.24012158,0.592592593
MATHEMATICS,SOLUTION OF TRIANGLE,2002,2002225,229,524,14,6,43.70229008,0.296296296
MATHEMATICS,SOLUTION OF TRIANGLE,2002,2002226,67,564,10,0,11.87943262,0.37037037
MATHEMATICS,VECTOR,2002,2002227,379,664,12,18,57.07831325,-0.222222222
MATHEMATICS,VECTOR,2002,2002228,198,516,23,12,38.37209302,0.407407407
MATHEMATICS,VECTOR,2002,2002229,676,926,19,11,73.00215983,0.296296296
MATHEMATICS,VECTOR,2002,2002230,363,544,15,18,66.72794118,-0.111111111
MATHEMATICS,VECTOR,2002,2002231,107,703,13,17,15.22048364,-0.148148148
MATHEMATICS,CO-ORDINATE GEOMETRY (3-D),2002,2002232,258,272,22,16,94.85294118,0.222222222
MATHEMATICS,CO-ORDINATE GEOMETRY (3-D),2002,2002233,106,173,10,1,61.2716763,0.333333333
MATHEMATICS,CO-ORDINATE GEOMETRY (3-D),2002,2002234,530,671,27,11,78.98658718,0.592592593
PHYSICS,ELECTROSTATICS,2003,2003001,61,91,10,22,67.03296703,-0.444444444
PHYSICS,ELECTROSTATICS,2003,2003002,199,657,14,13,30.2891933,0.037037037
PHYSICS,ELECTROSTATICS,2003,2003003,82,895,23,18,9.162011173,0.185185185
PHYSICS,CURRENT ELECTRICITY,2003,2003004,360,793,11,0,45.39722573,0.407407407
PHYSICS,CURRENT ELECTRICITY,2003,2003005,456,993,17,20,45.92145015,-0.111111111
PHYSICS,CURRENT ELECTRICITY,2003,2003006,81,296,24,5,27.36486486,0.703703704
PHYSICS,CURRENT ELECTRICITY,2003,2003007,109,153,16,17,71.24183007,-0.037037037
PHYSICS,CURRENT ELECTRICITY,2003,2003008,65,129,21,8,50.3875969,0.481481481
PHYSICS,CURRENT ELECTRICITY,2003,2003009,320,776,12,0,41.2371134,0.444444444
PHYSICS,CURRENT ELECTRICITY,2003,2003010,139,529,23,20,26.27599244,0.111111111
PHYSICS,CAPACITANCE,2003,2003011,48,179,15,7,26.81564246,0.296296296
PHYSICS,ELECTRO MAGNETIC FIELD,2003,2003012,69,177,22,18,38.98305085,0.148148148
PHYSICS,ELECTRO MAGNETIC FIELD,2003,2003013,894,934,20,13,95.71734475,0.259259259
PHYSICS,ELECTRO MAGNETIC FIELD,2003,2003014,361,412,18,15,87.62135922,0.111111111
PHYSICS,ELECTRO MAGNETIC FIELD,2003,2003015,188,236,15,17,79.66101695,-0.074074074
PHYSICS,ELECTRO MAGNETIC FIELD,2003,2003016,0,11,27,16,0,0.407407407
PHYSICS,ELECTRO MAGNETIC INDUCTION,2003,2003017,422,743,27,15,56.79676985,0.444444444
PHYSICS,ELECTRO MAGNETIC INDUCTION,2003,2003018,13,50,12,1,26,0.407407407
PHYSICS,ELECTRO MAGNETIC INDUCTION,2003,2003019,634,865,25,5,73.29479769,0.740740741
PHYSICS,ALTERNATING CURRENT,2003,2003020,93,133,11,21,69.92481203,-0.37037037
PHYSICS,ALTERNATING CURRENT,2003,2003021,417,795,15,17,52.45283019,-0.074074074
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003022,465,499,12,20,93.18637275,-0.296296296
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003023,39,611,27,10,6.382978723,0.62962963
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003024,32,65,23,3,49.23076923,0.740740741
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003025,488,514,14,14,94.94163424,0
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003026,156,413,14,2,37.77239709,0.444444444
PHYSICS,CALORIMETRY & THERMAL EXPANSION,2003,2003027,#NUM!,1,15,14,#NUM!,0.037037037
PHYSICS,SIMPLE HARMONIC MOTION,2003,2003028,114,136,15,14,83.82352941,0.037037037
PHYSICS,SIMPLE HARMONIC MOTION,2003,2003029,832,921,14,12,90.33659066,0.074074074
PHYSICS,SIMPLE HARMONIC MOTION,2003,2003030,186,826,18,7,22.51815981,0.407407407
PHYSICS,SIMPLE HARMONIC MOTION,2003,2003031,276,484,14,19,57.02479339,-0.185185185
PHYSICS,SIMPLE HARMONIC MOTION,2003,2003032,476,553,18,13,86.07594937,0.185185185
PHYSICS,WAVE ON A STRING,2003,2003033,45,454,25,17,9.911894273,0.296296296
PHYSICS,WAVE ON A STRING,2003,2003034,58,64,18,13,90.625,0.185185185
PHYSICS,SOUND WAVES,2003,2003035,158,338,26,15,46.74556213,0.407407407
PHYSICS,GEOMETRICAL OPTICS,2003,2003036,112,874,27,9,12.81464531,0.666666667
PHYSICS,GEOMETRICAL OPTICS,2003,2003037,279,621,10,11,44.92753623,-0.037037037
PHYSICS,WAVE OPTICS,2003,2003038,221,233,15,16,94.84978541,-0.037037037
PHYSICS,UNIT & DIMENSION,2003,2003039,445,862,12,5,51.62412993,0.259259259
PHYSICS,UNIT & DIMENSION,2003,2003040,102,270,17,11,37.77777778,0.222222222
PHYSICS,RECTILINEAR MOTION & VECTORS,2003,2003041,90,279,19,15,32.25806452,0.148148148
